Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cura_TestSuite_Login_001,Chrome 115.0.0.0,,,2023-08-04 22:41:30,2023-08-04 22:41:54,23.443s,PASSED
,,,,,,,
Test Cases/TC0_AppointmentPage,Chrome 115.0.0.0,,,2023-08-04 22:41:30,2023-08-04 22:41:40,9.916s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 115.0.0.0,,,2023-08-04 22:41:31,2023-08-04 22:41:39,8.694s,ERROR
"verifyMatch(getWindowTitle(), ""CURA Healthcare Service"", false)",Chrome 115.0.0.0,,,2023-08-04 22:41:40,2023-08-04 22:41:40,0.055s,PASSED
Start listener action : sampleAfterTestCase,Chrome 115.0.0.0,,,2023-08-04 22:41:40,2023-08-04 22:41:40,0.695s,PASSED
,,,,,,,
Test Cases/TC2_VerifySuccessfulLogin,Chrome 115.0.0.0,,,2023-08-04 22:41:40,2023-08-04 22:41:54,13.269s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 115.0.0.0,,,2023-08-04 22:41:40,2023-08-04 22:41:48,7.782s,ERROR
"comment(""Login to CURA HEALTHCARE SERVICES "")",Chrome 115.0.0.0,,,2023-08-04 22:41:48,2023-08-04 22:41:48,0.001s,PASSED
"comment(""Given that the user has the valid login information"")",Chrome 115.0.0.0,,,2023-08-04 22:41:48,2023-08-04 22:41:48,0.000s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 115.0.0.0,,,2023-08-04 22:41:48,2023-08-04 22:41:49,1.074s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Username_username""), Username)",Chrome 115.0.0.0,,,2023-08-04 22:41:49,2023-08-04 22:41:50,0.927s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Password_password""), Password)",Chrome 115.0.0.0,,,2023-08-04 22:41:50,2023-08-04 22:41:51,0.844s,PASSED
"comment(""When he logins to CURA system"")",Chrome 115.0.0.0,,,2023-08-04 22:41:51,2023-08-04 22:41:51,0.001s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Login""))",Chrome 115.0.0.0,,,2023-08-04 22:41:51,2023-08-04 22:41:53,1.337s,PASSED
"comment(""Then he should be able to login successfully"")",Chrome 115.0.0.0,,,2023-08-04 22:41:53,2023-08-04 22:41:53,0.001s,PASSED
"verifyElementPresent(findTestObject(""Page_CURA Healthcare Service/h2_Make Appointment""), 0)",Chrome 115.0.0.0,,,2023-08-04 22:41:53,2023-08-04 22:41:53,0.494s,PASSED
Start listener action : sampleAfterTestCase,Chrome 115.0.0.0,,,2023-08-04 22:41:53,2023-08-04 22:41:54,0.644s,PASSED
